Class,Host_Packets_1,Host_Packets_2,HH_Packets_1,HH_Packets_2,HH_Jitter_1,HH_Jitter_2
1,1.027124397,1.486040007,1.027124397,1.486040007,1.027124397,1.486040007
1,1.029967589,1.732885707,1.029967589,1.732885707,1.029967589,1.732885707
1,1.338151942,2.386843915,1,1,1,1
1,2.311785263,3.377362914,1.980296199,1.996027808,1.980296199,1.996027808
1,2.820471989,4.219771354,1,1,1,1
1,4.011048136,21.65961611,1,1,1,1
1,5.001758948,22.64957451,1,1,1,1
1,5.986370962,23.63562097,1,1,1,1
1,6.945494668,24.60325458,1,1,1,1
1,7.930468939,25.59260013,1,1,1,1
1,8.912730411,26.58114099,1,1,1,1
1,9.891751438,27.56861574,1,1,1,1
1,10.84486521,28.54243137,1,1,1,1
1,11.71406711,29.4732477,1,1,1,1
1,12.68904389,30.46064496,1,1,1,1
1,13.66053605,31.44694577,1,1,1,1
1,14.63178286,32.43369647,1,1,1,1
1,15.60002021,33.41960283,1,1,1,1
1,16.35196875,34.31264123,1,1,1,1
1,17.07109846,35.1939484,1,1,1,1
1,18.00792302,36.16786113,1,1,1,1
1,19.00729808,37.1676101,1,1,1,1
1,20.00709391,38.16753025,1,1,1,1
1,20.94768442,39.14483618,1,1,1,1
1,21.9033857,40.128266,1,1,1,1
1,22.83433972,41.1029348,1,1,1,1
1,23.52237722,41.9900064,1,1,1,1
1,24.40974146,42.94971573,1,1,1,1
1,25.40923723,43.94953829,1,1,1,1
1,26.36164296,44.93306148,1,1,1,1
1,27.30304786,45.91306879,1,1,1,1
1,28.24643493,46.89401281,1,1,1,1
1,29.01508542,47.81694379,1,1,1,1
1,29.09011256,48.50810854,1,1,1,1
1,30.08992027,49.50804441,1,1,1,1
1,31.08867713,50.50763533,1,1,1,1
1,32.08770099,51.50731815,1,1,1,1
1,33.02436876,52.48696984,1,1,1,1
1,33.72439916,53.39127073,1,1,1,1
1,34.24453229,54.23845684,1,1,1,1
1,35.15032287,55.20858109,1,1,1,1
1,36.05420085,56.17835335,1,1,1,1
1,36.96434288,57.1503227,1,1,1,1
1,37.86469188,58.11947547,1,1,1,1
1,38.76339376,59.08834513,1,1,1,1
1,39.55919752,60.0259609,1,1,1,1
1,40.3737067,60.96956336,1,1,1,1
1,41.12805549,61.89518906,1,1,1,1
1,42.01233336,62.86031885,1,1,1,1
1,42.85827533,63.81414969,1,1,1,1
1,42.59308626,64.43285782,1,1,1,1
1,43.50002825,65.4046784,1,1,1,1
1,44.28919077,66.34115399,1,1,1,1
1,45.28750739,67.34064967,1,1,1,1
1,46.19184853,68.31217745,1,1,1,1
1,47.09591726,69.28377969,1,1,1,1
1,47.99678808,70.2545889,1,1,1,1
1,48.89655423,71.2252212,1,1,1,1
1,49.11270284,71.99538304,1,1,1,1
1,50.11120134,72.99494282,1,1,1,1
1,51.10946229,73.99443617,1,1,1,1
1,52.00875497,74.96525307,1,1,1,1
1,52.88920826,75.93075849,1,1,1,1
1,53.77164927,76.89697356,1,1,1,1
1,54.6542125,77.86335573,1,1,1,1
1,54.66167457,78.57847406,1,1,1,1
1,55.65828718,79.57750013,1,1,1,1
1,55.70344544,80.30256976,1,1,1,1
1,56.00247544,81.09943982,1,1,1,1
1,56.74103447,82.02357738,1,1,1,1
1,57.61669156,82.98759636,1,1,1,1
1,58.47689264,83.94728564,1,1,1,1
1,59.31577715,84.90097627,1,1,1,1
1,60.18026592,85.86214828,1,1,1,1
1,61.03196501,86.81978886,1,1,1,1
1,61.79761189,87.75301136,1,1,1,1
1,62.7946503,88.75217025,1,1,1,1
1,63.6580769,89.71353082,1,1,1,1
1,64.51946816,90.6744284,1,1,1,1
1,65.36983476,91.63233095,1,1,1,1
1,66.19112837,92.58217565,1,1,1,1
1,66.88577033,93.49659613,1,1,1,1
1,67.04981269,94.26170942,1,1,1,1
1,67.7761832,95.18464734,1,1,1,1
1,68.56041113,96.1239641,1,1,1,1
1,68.51023652,96.82766717,1,1,1,1
1,68.29125199,97.48062253,1,1,1,1
1,68.6920271,98.30894924,1,1,1,1
1,69.45461419,99.24090016,1,1,1,1
1,70.4529499,100.2404245,1,1,1,1
1,71.45149454,101.2400104,1,1,1,1
1,72.44871971,102.2392241,1,1,1,1
1,72.64818319,103.0122762,1,1,1,1
1,73.47041538,103.9618133,1,1,1,1
1,74.3231634,104.920107,1,1,1,1
1,75.16053593,105.8741514,1,1,1,1
1,75.96540784,106.8191211,1,1,1,1
1,76.80206811,107.7731454,1,1,1,1
1,77.63642281,108.7266166,1,1,1,1
1,78.25611004,109.6198848,1,1,1,1
1,78.481303,110.4019526,1,1,1,1
1,78.79375778,111.2078331,1,1,1,1
1,79.41075595,112.0995102,1,1,1,1
1,80.14505979,113.024396,1,1,1,1
1,79.76844474,113.6334268,1,1,1,1
1,80.76541283,114.632563,1,1,1,1
1,81.76541283,115.632563,1,1,1,1
1,81.00782164,116.131116,1,1,1,1
1,80.41992791,116.6722295,1,1,1,1
1,81.23368338,117.6181391,1,1,1,1
1,82.05312196,118.5658057,1,1,1,1
1,82.87757203,119.5150287,1,1,1,1
1,83.68508925,120.4594624,1,1,1,1
1,84.47072689,121.3976868,1,1,1,1
1,85.28707939,122.3448548,1,1,1,1
1,83.46559384,122.5244375,1,1,1,1
1,84.2062668,123.4482062,1,1,1,1
1,85.03367854,124.397561,1,1,1,1
1,85.83555732,125.3395398,1,1,1,1
1,86.64950872,126.2851579,1,1,1,1
1,87.36737124,127.2028118,1,1,1,1
1,87.59568156,127.9773048,1,1,1,1
1,88.2744707,128.883309,1,1,1,1
1,89.26404078,129.8802632,1,1,1,1
1,88.82515542,130.4588179,1,1,1,1
1,89.82273339,131.4581064,1,1,1,1
1,90.82020994,132.4573678,1,1,1,1
1,91.81960959,133.4571927,1,1,1,1
1,92.81703004,134.4564428,1,1,1,1
1,77.84009047,130.4713443,1,1,1,1
1,78.59958834,131.3906211,1,1,1,1
1,79.35699857,132.309416,1,1,1,1
1,80.09448857,133.221765,1,1,1,1
1,80.8392361,134.1367439,1,1,1,1
1,81.48418979,135.0187105,1,1,1,1
1,80.73982519,135.435616,1,1,1,1
1,81.73729006,136.4347655,1,1,1,1
1,76.79193157,135.3895801,1,1,1,1
1,77.78609413,136.3875216,1,1,1,1
1,78.78557994,137.3873413,1,1,1,1
1,79.78252029,138.3862742,1,1,1,1
1,80.78252029,139.3862742,1,1,1,1
1,81.78085155,140.3856983,1,1,1,1
1,82.77774315,141.3846311,1,1,1,1
1,83.77514403,142.3837433,1,1,1,1
1,84.7728597,143.3829668,1,1,1,1
1,85.7707583,144.3822559,1,1,1,1
1,86.76962436,145.3818742,1,1,1,1
1,87.76539432,146.3804566,1,1,1,1
1,88.76329126,147.3797551,1,1,1,1
1,89.7605042,148.3788296,1,1,1,1
1,90.75894667,149.3783147,1,1,1,1
1,90.66468869,150.0163614,1,1,1,1
1,91.66244124,151.0156177,1,1,1,1
1,92.6612294,152.0152184,1,1,1,1
1,93.6580137,153.0141632,1,1,1,1
1,94.65607899,154.0135311,1,1,1,1
1,90.25047644,153.2128384,1,1,1,1
1,91.24794097,154.2119775,1,1,1,1
1,86.87318772,153.3508946,1,1,1,1
1,87.56478262,154.2418586,1,1,1,1
1,88.56210555,155.2409155,1,1,1,1
1,89.35788066,156.169252,1,1,1,1
1,90.07560922,157.0704629,1,1,1,1
1,90.86885953,157.9982922,1,1,1,1
1,91.66470903,158.9272349,1,1,1,1
1,92.55547822,159.8893402,1,1,1,1
1,93.55387219,160.8887853,1,1,1,1
1,94.34399792,161.8165344,1,1,1,1
1,95.33908682,162.8148497,1,1,1,1
1,96.33845659,163.8146345,1,1,1,1
1,97.33646651,164.8139577,1,1,1,1
1,97.91232752,165.6700729,1,1,1,1
1,98.82951631,166.6420397,1,1,1,1
1,99.54565786,167.5462035,1,1,1,1
1,100.3257889,168.4721254,1,1,1,1
1,101.1802414,169.4232149,1,1,1,1
1,102.1770645,170.4221509,1,1,1,1
1,102.8500065,171.3129103,1,1,1,1
1,103.8468622,172.3118628,1,1,1,1
1,104.8432583,173.3106668,1,1,1,1
1,105.8421321,174.3102945,1,1,1,1
1,106.3531565,175.1489383,1,1,1,1
1,106.9815511,176.0263703,1,1,1,1
1,107.5763067,176.8928108,1,1,1,1
1,107.6261175,177.5792126,1,1,1,1
1,108.6227382,178.5780975,1,1,1,1
1,103.7836567,177.6155164,1,1,1,1
1,104.3579818,178.4695766,1,1,1,1
1,105.3518596,179.4674825,1,1,1,1
1,106.3510761,180.4672156,1,1,1,1
1,107.3488792,181.46647,1,1,1,1
1,108.3425815,182.4643408,1,1,1,1
1,109.3410597,183.4638282,1,1,1,1
1,110.0137677,184.3538635,1,1,1,1
1,110.6240274,185.2230578,1,1,1,1
1,111.3200565,186.1211552,1,1,1,1
1,109.169449,186.0554923,1,1,1,1
1,109.9279637,186.9731076,1,1,1,1
2,1.106001756,1.63835551,1,1,1,1
2,2.105990789,2.638352261,1,1,1,1
2,3.105975127,3.638348337,1,1,1,1
2,4.105964862,4.638345932,1,1,1,1
2,5.105951291,5.638342866,1,1,1,1
2,6.10591332,6.63833448,1,1,1,1
2,7.105872957,7.638325703,1,1,1,1
2,8.105825985,8.638315605,1,1,1,1
2,9.105799194,9.638309895,1,1,1,1
2,10.0354065,10.62336174,1,1,1,1
2,11.03537333,11.62335472,1,1,1,1
2,73.01670141,229.5254254,1,1,1,1
2,73.89203848,230.4469972,1,1,1,1
2,74.35014235,231.1079991,1,1,1,1
2,75.34958943,232.1076554,1,1,1,1
2,76.34909135,233.1073485,1,1,1,1
2,77.348839,234.1071944,1,1,1,1
2,78.34858335,235.1070397,1,1,1,1
2,79.34825965,236.1068454,1,1,1,1
2,80.34799739,237.1066893,1,1,1,1
2,81.04562467,237.9279599,1,1,1,1
2,82.04502196,238.927606,1,1,1,1
2,83.04475079,239.9274481,1,1,1,1
2,83.66198383,240.7058661,1,1,1,1
2,84.66143079,241.7055479,1,1,1,1
2,85.6608012,242.7051884,1,1,1,1
2,86.20927907,243.4487851,1,1,1,1
2,87.2087092,244.4484633,1,1,1,1
2,88.20806066,245.4480997,1,1,1,1
2,89.20776912,246.4479375,1,1,1,1
2,90.05332888,247.3625461,1,1,1,1
2,91.0527336,248.3622191,1,1,1,1
2,92.05205647,249.3618497,1,1,1,1
2,92.81277199,250.2320741,1,1,1,1
2,93.81215846,251.2317432,1,1,1,1
2,94.8118484,252.2315772,1,1,1,1
2,95.61517762,253.1268481,1,1,1,1
2,96.61454557,254.1265134,1,1,1,1
2,97.61422624,255.1263454,1,1,1,1
2,98.49419999,256.063574,1,1,1,1
2,99.49346753,257.0631931,1,1,1,1
2,100.2313957,257.9276262,1,1,1,1
2,101.0554732,258.8370216,1,1,1,1
2,101.7275108,259.6687987,1,1,1,1
2,102.7267543,260.6684124,1,1,1,1
2,103.4079214,261.506404,1,1,1,1
2,104.4072379,262.5060582,1,1,1,1
2,105.4068065,263.5058413,1,1,1,1
2,106.4061098,264.5054929,1,1,1,1
2,107.0457099,265.3260725,1,1,1,1
2,108.0449139,266.3256779,1,1,1,1
2,109.0445568,267.3255019,1,1,1,1
